City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,morehead city,34.7229,-76.726,301.49,91,0,4.12,US,1689563835
280,tocoa,15.6833,-86.0,297.74,92,91,0.47,HN,1689563835
281,bandarbeyla,9.4942,50.8122,298.47,69,27,12.79,SO,1689563836
282,buala,-8.145,159.5921,301.27,79,74,1.09,SB,1689563836
283,solwezi,-12.1688,26.3894,282.34,77,4,1.94,ZM,1689563836
284,porrino,42.1616,-8.6198,289.25,88,0,1.03,ES,1689563836
285,castro,-24.7911,-50.0119,284.73,76,51,1.03,BR,1689563837
286,santiago de cao,-7.9589,-79.2392,295.22,88,100,4.12,PE,1689563837
287,karratha,-20.7377,116.8463,297.52,31,5,5.17,AU,1689563837
288,oamaru,-45.0784,170.9801,285.35,63,100,3.44,NZ,1689563837
289,jacmel,18.2342,-72.5347,302.06,83,11,0.41,HT,1689563838
290,bhadrakh,21.0528,86.52,302.74,71,100,3.26,IN,1689563838
291,hun,29.1268,15.9477,298.77,45,1,3.12,LY,1689563838
292,novodvinsk,64.4165,40.8122,291.34,65,94,1.97,RU,1689563838
293,pandan,14.0453,124.1694,304.08,66,100,3.34,PH,1689563839
294,aldama,22.9167,-98.0667,302.31,91,13,2.06,MX,1689563839
295,lozova,48.8894,36.3176,288.49,75,0,3.06,UA,1689563839
296,khabarovsk,48.4808,135.0928,294.04,88,100,3.13,RU,1689563839
297,kuanda,56.3161,116.0806,301.65,46,57,3.9,RU,1689563839
298,kish,26.5578,54.0194,305.3,94,0,3.09,IR,1689563840
299,salalah,17.0151,54.0924,298.2,100,100,3.6,OM,1689563840
300,talcahuano,-36.7167,-73.1167,278.97,75,0,2.57,CL,1689563840
301,port alfred,-33.5906,26.891,289.28,51,42,2.45,ZA,1689563840
302,port blair,11.6667,92.75,302.17,79,100,5.14,IN,1689563840
303,sitka,57.0531,-135.33,287.09,94,100,2.57,US,1689563841
304,keflavik,64.0049,-22.5624,282.1,76,0,4.12,IS,1689563841
305,corinto,37.9407,22.9573,301.98,57,0,1.7,GR,1689563841
306,goulburn,-34.75,149.7167,288.59,60,2,0.89,AU,1689563841
307,funafuti,-8.5243,179.1942,305.15,79,75,4.12,TV,1689563842
308,beloyarskiy,63.7119,66.6722,295.09,46,96,3.61,RU,1689563842
309,bel ombre,-4.6167,55.4167,299.06,78,40,5.14,SC,1689563842
310,sitangkai,4.6628,119.3928,301.55,80,97,9.18,PH,1689563842
311,akureyri,65.6835,-18.0878,280.11,87,100,3.6,IS,1689563843
312,lazaro cardenas,17.9583,-102.2,301.13,87,6,2.03,MX,1689563843
313,kenai,60.5544,-151.2583,287.2,97,100,4.12,US,1689563843
314,ha giang,22.8333,104.9833,308.28,37,62,2.85,VN,1689563844
315,usogorsk,63.4106,48.6872,291.26,77,96,1.52,RU,1689563844
316,piti village,13.4626,144.6933,304.64,75,75,7.2,GU,1689563844
317,lebu,-37.6167,-73.65,279.76,73,99,3.15,CL,1689563845
318,bikenibeu village,1.3673,173.1241,302.13,79,40,2.06,KI,1689563845
319,malmberget,67.1753,20.6549,286.46,88,100,5.14,SE,1689563845
320,lorengau,-2.0226,147.2712,302.89,71,97,5.81,PG,1689563845
321,gujar khan,33.2558,73.3026,303.5,62,0,3.4,PK,1689563749
322,rio grande,-32.035,-52.0986,277.56,78,99,4.72,BR,1689563705
323,san patricio,28.017,-97.5169,302.2,80,45,7.11,US,1689563846
324,bocaiuva,-17.1078,-43.815,291.99,64,38,0.93,BR,1689563846
325,salavat,53.3837,55.9077,287.79,94,100,3.52,RU,1689563846
326,kralendijk,12.15,-68.2667,301.14,83,40,5.66,BQ,1689563834
327,fisterra,42.9049,-9.2629,286.9,82,4,5.46,ES,1689563847
328,arkhangel'sk,64.5401,40.5433,291.49,65,100,1.98,RU,1689563583
329,anna regina,7.2644,-58.5077,299.22,85,18,3.81,GY,1689563847
330,darnah,32.767,22.6367,299.71,74,0,9.01,LY,1689563847
331,hasaki,35.7333,140.8333,307.37,70,76,3.98,JP,1689563848
332,auki,-8.7676,160.7034,299.38,86,97,1.21,SB,1689563848
333,president roxas,7.1544,125.0558,303.2,66,80,1.75,PH,1689563848
334,praia da vitoria,38.7333,-27.0667,293.29,77,40,3.72,PT,1689563848
335,lionel town,17.8101,-77.2406,303.09,85,17,2.78,JM,1689563848
336,marsa alam,25.0757,34.8918,306.13,29,1,3.04,EG,1689563632
337,egilsstadir,65.2653,-14.3948,281.1,81,75,1.54,IS,1689563849
338,queenstown,-31.8976,26.8753,281.54,49,53,2.87,ZA,1689563849
339,uturoa,-16.7333,-151.4333,298.91,65,1,4.3,PF,1689563849
